Country,Gini Coefficient,Total Market Value,Average Market Value
England,0.2813530833651685,11753230000.0,587661500.0
Spain,0.5274084602640547,5480680000.0,274034000.0
Italy,0.41235869220786303,4954610000.0,247730500.0
Germany,0.4781319461943496,4484370000.0,249131666.66666666
France,0.4229170535437945,3590000000.0,199444444.44444445
Portugal,0.62924785531315,1615750000.0,89763888.8888889
Netherlands,0.5871050233827164,1324340000.0,73574444.44444445
TĂĽrkiye,0.4944453672848883,1146980000.0,60367368.421052635
Russia,0.40034160777191863,914060000.0,57128750.0
Belgium,0.33962970069071363,977250000.0,61078125.0
Greece,0.5292277655464628,515850000.0,36846428.571428575
Austria,0.5747518841877473,446700000.0,37225000.0
Ukraine,0.5857346168606883,390850000.0,24428125.0
Switzerland,0.21731465096009095,378610000.0,31550833.333333332
Denmark,0.388810880205408,373890000.0,31157500.0
Czech Republic,0.5384116268369137,347730000.0,21733125.0
Scotland,0.5631680052316432,326220000.0,27185000.0
Serbia,0.4402801659688995,267520000.0,16720000.0
Norway,0.31713530896218156,285310000.0,17831875.0
Poland,0.274637625584784,260780000.0,14487777.777777778
Sweden,0.2837606139777924,275580000.0,17223750.0
Croatia,0.45328235091940194,232760000.0,23276000.0
Romania,0.2887548842801322,232890000.0,14555625.0
Bulgaria,0.41619542704529344,183470000.0,11466875.0
Cyprus,0.32147539852322127,144910000.0,10350714.285714285
Hungary,0.36692255420356346,156970000.0,13080833.333333334
Israel,0.3047144270601154,131390000.0,9385000.0
Slovakia,0.3801185797305924,99230000.0,8269166.666666667
Azerbaijan,0.29318610587060245,90110000.0,9011000.0
Kazakhstan,0.23273674305430148,80930000.0,6225384.615384615
Bosnia-Herzegovina,0.2610341288170388,64950000.0,5412500.0
Slovenia,0.2837434750186427,67050000.0,6705000.0
Belarus,0.21138759754275283,60230000.0,3764375.0
Lithuania,0.11420273561926164,53370000.0,5337000.0
Finland,0.17850868301912293,49330000.0,4110833.3333333335
Armenia,0.23597934430166934,45420000.0,4129090.909090909
Latvia,0.36592382495948117,49360000.0,4936000.0
Albania,0.07780866342367365,43170000.0,4317000.0
North Macedonia,0.16676426954009527,42690000.0,3557500.0
Georgia,0.16887700534759342,37400000.0,3740000.0
Kosovo,0.21983210912906603,38120000.0,3812000.0
Malta,0.11373009981027815,40410000.0,3367500.0
Moldova,0.45578086594819434,26445000.0,3305625.0
Ireland,0.21112754158964875,27050000.0,2705000.0
Luxembourg,0.2985946453270105,25305000.0,1581562.5
Iceland,0.23884213210915584,26140000.0,2178333.3333333335
Northern Ireland,0.1218262287444678,28620000.0,2385000.0
Estonia,0.17815092848676395,25310000.0,2531000.0
Montenegro,0.2972064600611086,22910000.0,2291000.0
Andorra,0.20270453008789713,29580000.0,2958000.0
Faroe Islands,0.3008086253369271,14840000.0,1484000.0
Wales,0.17230172927847365,13975000.0,1164583.3333333333
Gibraltar,0.3024333268444619,11675000.0,1061363.6363636365
San Marino,0.3555800542740841,7370000.0,460625.0
